gene_a,gene_b,growth_a,growth_b,growth_ab,bliss_expected,bliss_score,interaction,top_shared_pathways,top_unique_pathways,mean_sigma,mean_delta
murD,fabH,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(19444444444.445); Intracellular demand(9853.049); tRNA Charging(620.402),Glyoxylate Metabolism(0.000); Intracellular demand(0.000); tRNA Charging(0.000),486111372.9904,0.0
ftsW,folP,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(9722222222.222); Intracellular demand(4926.024); tRNA Charging(309.701),Glyoxylate Metabolism(19444444444.444); Intracellular demand(9854.049); tRNA Charging(621.402),243055686.8432,486111374.7783
ftsW,folA,0.0,1.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(9722222222.222); Intracellular demand(4926.524); tRNA Charging(310.201),Glyoxylate Metabolism(19444444444.444); Intracellular demand(9853.049); tRNA Charging(620.402),243055686.4952,486111373.926
ftsW,fabH,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(19444444444.444); Intracellular demand(9853.049); tRNA Charging(620.402),Glyoxylate Metabolism(0.000); Intracellular demand(0.000); tRNA Charging(0.000),486111372.9904,0.0
lpxA,lpxB,0.0,0.0,-0.0,0.0,0.0,additive,Glyoxylate Metabolism(19444444444.444); Intracellular demand(9853.049); tRNA Charging(620.402),Alanine and Aspartate Metaboli(0.000); Alternate Carbon Metabolism(0.000); Anaplerotic Reactions(0.000),486111372.9904,0.0
lpxA,ispD,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(9722222222.222); Intracellular demand(4926.024); tRNA Charging(309.701),Glyoxylate Metabolism(19444444444.444); Intracellular demand(9854.049); tRNA Charging(621.402),243055686.8432,486111374.7783
lpxA,dxr,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(9722222222.222); Intracellular demand(4926.024); tRNA Charging(309.701),Glyoxylate Metabolism(19444444444.444); Intracellular demand(9854.049); tRNA Charging(621.402),243055686.8432,486111374.7783
lpxA,folP,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(9722222222.222); Intracellular demand(4926.024); tRNA Charging(309.701),Glyoxylate Metabolism(19444444444.444); Intracellular demand(9854.049); tRNA Charging(621.402),243055686.8432,486111374.7783
lpxA,folA,0.0,1.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(9722222222.222); Intracellular demand(4926.524); tRNA Charging(310.201),Glyoxylate Metabolism(19444444444.444); Intracellular demand(9853.049); tRNA Charging(620.402),243055686.4952,486111373.926
lpxA,fabH,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(19444444444.444); Intracellular demand(9853.049); tRNA Charging(620.402),Glyoxylate Metabolism(0.000); Intracellular demand(0.000); tRNA Charging(0.000),486111372.9904,0.0
lpxA,fabI,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(19444444444.444); Intracellular demand(9853.049); tRNA Charging(620.402),Glyoxylate Metabolism(0.000); Intracellular demand(0.000); tRNA Charging(0.000),486111372.9904,0.0
lpxA,murD,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(19444444444.444); Intracellular demand(9853.049); tRNA Charging(620.402),Glyoxylate Metabolism(0.000); Intracellular demand(0.000); tRNA Charging(0.000),486111372.9904,0.0
lpxA,murC,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(19444444444.444); Intracellular demand(9853.049); tRNA Charging(620.402),Glyoxylate Metabolism(0.000); Intracellular demand(0.000); tRNA Charging(0.000),486111372.9904,0.0
lpxA,murB,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(19444444444.444); Intracellular demand(9853.049); tRNA Charging(620.402),Glyoxylate Metabolism(0.000); Intracellular demand(0.000); tRNA Charging(0.000),486111372.9904,0.0
lpxA,murA,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(19444444444.444); Intracellular demand(9853.049); tRNA Charging(620.402),Glyoxylate Metabolism(0.000); Intracellular demand(0.000); tRNA Charging(0.000),486111372.9904,0.0
lpxA,ftsW,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(19444444444.444); Intracellular demand(9853.049); tRNA Charging(620.402),Alanine and Aspartate Metaboli(0.000); Alternate Carbon Metabolism(0.000); Anaplerotic Reactions(0.000),486111372.9904,0.0
lpxA,lpxD,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(19444444444.444); Intracellular demand(9853.049); tRNA Charging(620.402),Glyoxylate Metabolism(0.000); Intracellular demand(0.000); tRNA Charging(0.000),486111372.9904,0.0
lpxC,accA,-0.0,-0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(9722222222.223); Murein Recycling(2702702702.703); Intracellular demand(4926.024),Glyoxylate Metabolism(19444444444.445); Murein Recycling(5405405405.405); Intracellular demand(9854.049),310623254.5236,621246509.6342
lpxB,lpxD,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(19444444444.444); Intracellular demand(9853.049); tRNA Charging(620.402),Glyoxylate Metabolism(0.000); Intracellular demand(0.000); tRNA Charging(0.000),486111372.9904,0.0
lpxC,ispD,-0.0,0.0,0.0,-0.0,-0.0,additive,Glyoxylate Metabolism(9722222222.223); Intracellular demand(4926.024); tRNA Charging(309.701),Glyoxylate Metabolism(19444444444.445); Intracellular demand(9854.049); tRNA Charging(621.402),243055686.8432,486111374.7784
lpxC,dxr,-0.0,0.0,0.0,-0.0,-0.0,additive,Glyoxylate Metabolism(9722222222.223); Intracellular demand(4926.024); tRNA Charging(309.701),Glyoxylate Metabolism(19444444444.445); Intracellular demand(9854.049); tRNA Charging(621.402),243055686.8432,486111374.7784
lpxC,folP,-0.0,0.0,0.0,-0.0,-0.0,additive,Glyoxylate Metabolism(9722222222.223); Intracellular demand(4926.024); tRNA Charging(309.701),Glyoxylate Metabolism(19444444444.445); Intracellular demand(9854.049); tRNA Charging(621.402),243055686.8432,486111374.7784
lpxC,folA,-0.0,1.0,0.0,-0.0,-0.0,additive,Glyoxylate Metabolism(9722222222.223); Intracellular demand(4926.524); tRNA Charging(310.201),Glyoxylate Metabolism(19444444444.445); Intracellular demand(9853.049); tRNA Charging(620.402),243055686.4952,486111373.926
lpxC,fabH,-0.0,0.0,0.0,-0.0,-0.0,additive,Glyoxylate Metabolism(19444444444.445); Intracellular demand(9853.049); tRNA Charging(620.402),Glyoxylate Metabolism(0.001); Intracellular demand(0.000); tRNA Charging(0.000),486111372.9904,0.0
lpxC,fabI,-0.0,0.0,0.0,-0.0,-0.0,additive,Glyoxylate Metabolism(19444444444.445); Intracellular demand(9853.049); tRNA Charging(620.402),Glyoxylate Metabolism(0.001); Intracellular demand(0.000); tRNA Charging(0.000),486111372.9904,0.0
lpxC,murD,-0.0,0.0,0.0,-0.0,-0.0,additive,Glyoxylate Metabolism(19444444444.445); Intracellular demand(9853.049); tRNA Charging(620.402),Glyoxylate Metabolism(0.001); Intracellular demand(0.000); tRNA Charging(0.000),486111372.9904,0.0
lpxC,murC,-0.0,0.0,0.0,-0.0,-0.0,additive,Glyoxylate Metabolism(19444444444.445); Intracellular demand(9853.049); tRNA Charging(620.402),Glyoxylate Metabolism(0.001); Intracellular demand(0.000); tRNA Charging(0.000),486111372.9904,0.0
lpxC,murB,-0.0,0.0,0.0,-0.0,-0.0,additive,Glyoxylate Metabolism(19444444444.445); Intracellular demand(9853.049); tRNA Charging(620.402),Glyoxylate Metabolism(0.001); Intracellular demand(0.000); tRNA Charging(0.000),486111372.9904,0.0
lpxC,murA,-0.0,0.0,0.0,-0.0,-0.0,additive,Glyoxylate Metabolism(19444444444.445); Intracellular demand(9853.049); tRNA Charging(620.402),Glyoxylate Metabolism(0.001); Intracellular demand(0.000); tRNA Charging(0.000),486111372.9904,0.0
lpxC,ftsW,-0.0,0.0,-0.0,-0.0,0.0,additive,Glyoxylate Metabolism(19444444444.445); Intracellular demand(9853.049); tRNA Charging(620.402),Glyoxylate Metabolism(0.001); Intracellular demand(0.000); tRNA Charging(0.000),486111372.9904,0.0
lpxC,lpxD,-0.0,0.0,0.0,-0.0,-0.0,additive,Glyoxylate Metabolism(19444444444.445); Intracellular demand(9853.049); tRNA Charging(620.402),Glyoxylate Metabolism(0.001); Intracellular demand(0.000); tRNA Charging(0.000),486111372.9904,0.0
lpxA,accA,0.0,-0.0,0.0,-0.0,-0.0,additive,Glyoxylate Metabolism(9722222222.222); Murein Recycling(2702702702.703); Intracellular demand(4926.024),Glyoxylate Metabolism(19444444444.444); Murein Recycling(5405405405.405); Intracellular demand(9854.049),310623254.5236,621246509.6341
lpxB,ftsW,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(19444444444.444); Intracellular demand(9853.049); tRNA Charging(620.402),Alanine and Aspartate Metaboli(0.000); Alternate Carbon Metabolism(0.000); Anaplerotic Reactions(0.000),486111372.9904,0.0
ftsW,fabI,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(19444444444.444); Intracellular demand(9853.049); tRNA Charging(620.402),Glyoxylate Metabolism(0.000); Intracellular demand(0.000); tRNA Charging(0.000),486111372.9904,0.0
lpxD,murC,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(19444444444.444); Intracellular demand(9853.049); tRNA Charging(620.402),Glyoxylate Metabolism(0.000); Intracellular demand(0.000); tRNA Charging(0.000),486111372.9904,0.0
ftsW,murD,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(19444444444.444); Intracellular demand(9853.049); tRNA Charging(620.402),Glyoxylate Metabolism(0.000); Intracellular demand(0.000); tRNA Charging(0.000),486111372.9904,0.0
ftsW,murC,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(19444444444.444); Intracellular demand(9853.049); tRNA Charging(620.402),Glyoxylate Metabolism(0.000); Intracellular demand(0.000); tRNA Charging(0.000),486111372.9904,0.0
ftsW,murB,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(19444444444.444); Intracellular demand(9853.049); tRNA Charging(620.402),Glyoxylate Metabolism(0.000); Intracellular demand(0.000); tRNA Charging(0.000),486111372.9904,0.0
ftsW,murA,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(19444444444.444); Intracellular demand(9853.049); tRNA Charging(620.402),Glyoxylate Metabolism(0.000); Intracellular demand(0.000); tRNA Charging(0.000),486111372.9904,0.0
lpxD,accA,0.0,-0.0,0.0,-0.0,-0.0,additive,Glyoxylate Metabolism(9722222222.222); Murein Recycling(2702702702.703); Intracellular demand(4926.024),Glyoxylate Metabolism(19444444444.444); Murein Recycling(5405405405.405); Intracellular demand(9854.049),310623254.5236,621246509.6341
lpxD,ispD,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(9722222222.222); Intracellular demand(4926.024); tRNA Charging(309.701),Glyoxylate Metabolism(19444444444.444); Intracellular demand(9854.049); tRNA Charging(621.402),243055686.8432,486111374.7783
lpxD,dxr,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(9722222222.222); Intracellular demand(4926.024); tRNA Charging(309.701),Glyoxylate Metabolism(19444444444.444); Intracellular demand(9854.049); tRNA Charging(621.402),243055686.8432,486111374.7783
lpxD,folP,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(9722222222.222); Intracellular demand(4926.024); tRNA Charging(309.701),Glyoxylate Metabolism(19444444444.444); Intracellular demand(9854.049); tRNA Charging(621.402),243055686.8432,486111374.7783
lpxD,folA,0.0,1.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(9722222222.222); Intracellular demand(4926.524); tRNA Charging(310.201),Glyoxylate Metabolism(19444444444.444); Intracellular demand(9853.049); tRNA Charging(620.402),243055686.4952,486111373.926
lpxD,fabH,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(19444444444.444); Intracellular demand(9853.049); tRNA Charging(620.402),Glyoxylate Metabolism(0.000); Intracellular demand(0.000); tRNA Charging(0.000),486111372.9904,0.0
lpxD,fabI,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(19444444444.444); Intracellular demand(9853.049); tRNA Charging(620.402),Glyoxylate Metabolism(0.000); Intracellular demand(0.000); tRNA Charging(0.000),486111372.9904,0.0
lpxD,murD,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(19444444444.445); Intracellular demand(9853.049); tRNA Charging(620.402),Glyoxylate Metabolism(0.000); Intracellular demand(0.000); tRNA Charging(0.000),486111372.9904,0.0
lpxD,murB,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(19444444444.444); Intracellular demand(9853.049); tRNA Charging(620.402),Glyoxylate Metabolism(0.000); Intracellular demand(0.000); tRNA Charging(0.000),486111372.9904,0.0
lpxB,murA,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(19444444444.444); Intracellular demand(9853.049); tRNA Charging(620.402),Glyoxylate Metabolism(0.000); Intracellular demand(0.000); tRNA Charging(0.000),486111372.9904,0.0
lpxD,murA,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(19444444444.445); Intracellular demand(9853.049); tRNA Charging(620.402),Glyoxylate Metabolism(0.000); Intracellular demand(0.000); tRNA Charging(0.000),486111372.9904,0.0
lpxD,ftsW,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(19444444444.444); Intracellular demand(9853.049); tRNA Charging(620.402),Glyoxylate Metabolism(0.000); Intracellular demand(0.000); tRNA Charging(0.000),486111372.9904,0.0
lpxB,accA,0.0,-0.0,0.0,-0.0,-0.0,additive,Glyoxylate Metabolism(9722222222.222); Murein Recycling(2702702702.703); Intracellular demand(4926.024),Glyoxylate Metabolism(19444444444.444); Murein Recycling(5405405405.405); Intracellular demand(9854.049),310623254.5236,621246509.6341
lpxB,ispD,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(9722222222.222); Intracellular demand(4926.024); tRNA Charging(309.701),Glyoxylate Metabolism(19444444444.444); Intracellular demand(9854.049); tRNA Charging(621.402),243055686.8432,486111374.7783
lpxB,dxr,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(9722222222.222); Intracellular demand(4926.024); tRNA Charging(309.701),Glyoxylate Metabolism(19444444444.444); Intracellular demand(9854.049); tRNA Charging(621.402),243055686.8432,486111374.7783
lpxB,folP,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(9722222222.222); Intracellular demand(4926.024); tRNA Charging(309.701),Glyoxylate Metabolism(19444444444.444); Intracellular demand(9854.049); tRNA Charging(621.402),243055686.8432,486111374.7783
lpxB,folA,0.0,1.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(9722222222.222); Intracellular demand(4926.524); tRNA Charging(310.201),Glyoxylate Metabolism(19444444444.444); Intracellular demand(9853.049); tRNA Charging(620.402),243055686.4952,486111373.926
lpxB,fabH,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(19444444444.444); Intracellular demand(9853.049); tRNA Charging(620.402),Glyoxylate Metabolism(0.000); Intracellular demand(0.000); tRNA Charging(0.000),486111372.9904,0.0
lpxB,fabI,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(19444444444.444); Intracellular demand(9853.049); tRNA Charging(620.402),Glyoxylate Metabolism(0.000); Intracellular demand(0.000); tRNA Charging(0.000),486111372.9904,0.0
lpxB,murD,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(19444444444.444); Intracellular demand(9853.049); tRNA Charging(620.402),Glyoxylate Metabolism(0.000); Intracellular demand(0.000); tRNA Charging(0.000),486111372.9904,0.0
lpxB,murC,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(19444444444.444); Intracellular demand(9853.049); tRNA Charging(620.402),Glyoxylate Metabolism(0.000); Intracellular demand(0.000); tRNA Charging(0.000),486111372.9904,0.0
lpxB,murB,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(19444444444.444); Intracellular demand(9853.049); tRNA Charging(620.402),Glyoxylate Metabolism(0.000); Intracellular demand(0.000); tRNA Charging(0.000),486111372.9904,0.0
ispD,accA,0.0,-0.0,0.0,-0.0,-0.0,additive,Murein Recycling(2702702702.703); Lipopolysaccharide Biosynthesi(12.515); Murein Biosynthesis(7.318),Murein Recycling(5405405405.405); Lipopolysaccharide Biosynthesi(27.030); Murein Biosynthesis(16.635),67567568.3764,135135137.8254
