gds_id,accession,title,summary,organism,n_samples,gse
200319477,GSE319477,Comparative Analysis of Defensin Expression in Hyalomma asiaticum Ticks Exposed to Staphylococcus aureus and Escherichia coli,"Background: Hyalomma asiaticum, which acts as a vector of zoonotic pathogens, relies on its innate immune system for defense. Methods: This study employed comparative transcriptomics to investigate de",Hyalomma asiaticum,9,319477
200310657,GSE310657,Quorum sensing regulator LsrR modulates resistance to oxidative stress by interfering with sulfate assimilation in avian pathogenic Escherichia coli,"Prokaryotes and eukaryotes endogenously generate the gaseous molecule hydrogen sulfide (H2S), which has been identified as a novel signaling molecule. Bacterial H2S plays a protective role against rea",Escherichia coli K-12,2,310657
200312438,GSE312438,A plant-derived antimicrobial peptide with multiple mechanisms of action exhibiting antibacterial and antibiofilm activities comparable to or superior to polymyxin B,"Antimicrobial peptides (AMPs) represent promising alternatives to conventional antibiotics in the fight against multidrug-resistant pathogens. Here, we characterize the antibacterial properties and mo",Escherichia coli,6,312438
200308141,GSE308141,"Embryo-derived proteins (PDI, CAPG, PSAT1) are highly conserved among placental mammals and alter the transcriptome of endometrial epithelial cells (bovine and human)","Pregnancy establishment in mammals requires a complex sequence of events, including bi-lateral embryo-maternal communication, leading up to implantation. This is the time when most pregnancy loss occu",Homo sapiens; Bos taurus,66,308141
200311202,GSE311202,Transcriptome profiling of oral keratinocytes cocultured with Th17 cells during Escherichia coli infection,"Oral lichen planus (OLP) lesions show chronic T cell–mediated inflammation and increased colonization by Escherichia coli, yet the mechanisms that enhance intracellular bacterial survival in oral kera",Mus musculus,9,311202
200302092,GSE302092,Cas9 senses CRISPR RNA abundance to regulate CRISPR spacer acquisition,"Prokaryotes create adaptive immune memories by acquiring foreign DNA snippets, known as spacers, into the CRISPR array1. In type II CRISPR-Cas systems, the RNA-guided effector Cas9 also assists the ac",Neisseria meningitidis 8013,128,302092
200295972,GSE295972,Acclimation of the Escherichia coli transcriptome after 10 hours of incubation in the presence of silver nitrate at sublethal levels.,Silver nitrate has been explored as an FDA-approved alternative to treat antibiotic-resistant bacterial strains. Questions remain as it relates to the full-systems response elicited to counteract its ,Escherichia coli,6,295972
200295971,GSE295971,Acclimation of the Escherichia coli transcriptome after 10 hours of incubation in the presence of tetrachloroauric acid at sublethal levels.,Tetrachloroauric acid has been explored as an FDA-approved alternative to treat antibiotic-resistant bacterial strains. Questions remain as it relates to the full-systems response elicited to countera,Escherichia coli,6,295971
200295970,GSE295970,Acclimation of the Escherichia coli transcriptome after 10 hours of incubation in the presence of copper sulfate at sublethal levels.,Copper sulfate has been explored as an FDA-approved alternative to treat antibiotic-resistant bacterial strains. Questions remain as it relates to the full-systems response elicited to counteract its ,Escherichia coli,6,295970
200273471,GSE273471,Dimethyl itaconate alleviates Escherichia coli-induced endometritis by activating the guanosine-CXCL14 axis via increasing the abundance of Muribaculaceae,"Endometritis, a prevalent reproductive system disease with high incidence, leads to reproductive dysfunction and potential miscarriage in both humans and animals, impacting human health and the dairy ",Mus musculus,6,273471
200319278,GSE319278,Abrogation of SOS mutagenesis by the E. coli OxyR oxidative stress response,"Most bacteria are capable of living and surviving under a wide range of conditions, including exposures to chemical and physical stressors. A key to survival under adverse conditions is their ability ",Escherichia coli,12,319278
200301628,GSE301628,RelA influence on antimicrobial action of t-cinnamaldehyde on Escherichia coli MG1655,"Antimicrobial resistance poses a global threat. Natural-origin compounds represent a valuable source of antimicrobial agents used in both human and veterinary medicine. However, understanding their me",Escherichia coli,12,301628
200295494,GSE295494,Revealing Transcriptomic Responses in Escherichia coli During Early Antibiotic Exposure,"The earliest stages of bacterial adaptation to antibiotics are critical for survival, as the responses initiated in these moments shape the path toward tolerance and resistance. While long-term adapta",Escherichia coli str. K-12 substr. MG1655,42,295494
200264631,GSE264631,Insights into the stress response of Escherichia coli biofilms upon Plasma-activated water treatment.,"Biofilms on surfaces pose quality and health risks, resisting traditional antimicrobial methods. Plasma-activated water (PAW) shows promise in biofilm elimination, yet its genetic impact remains uncle",Escherichia coli,16,264631
200282610,GSE282610,Broad-spectrum tolerance to disinfectant-mediated bacterial killing due to mutation of the PheS aminoacyl tRNA synthetase,Disinfectants are essential tools for controlling infectious diseases and maintaining sterile conditions in many medical and food-industry settings. Recent work revealed that a deficiency in the PTS c,Escherichia coli K-12,4,282610
200215798,GSE215798,Stress response in Escherichia coli following sublethal phenalene-1-one mediated antimicrobial photodynamic therapy: an RNA-Seq study,"Since the molecular mechanisms behind adaptation and the bacterial stress response toward antimicrobial photodynamic therapy (aPDT) are not entirely clear yet, the aim of the present study was to inve",Escherichia coli,20,215798
200213985,GSE213985,Insulin receptor deletion in kidney intercalated cells suppresses collecting duct immune defenses,"Urinary tract infection (UTI) significantly impacts people with diabetes mellitus. Insulin resistance, the primary abnormality leading to Type 2 diabetes, is defined by inefficient insulin receptor si",Mus musculus,16,213985
200199248,GSE199248,Landscapes of collateral fitness effects of mutations in antibiotic resistance genes,"We performed RNA-seq experiments to compare the gene expression profiles of cells expressing single-codon substitutions in the antibiotic resistance genes NDM-1, CAT-I, or aadB in the absence of antib",Escherichia coli,20,199248
200208154,GSE208154,The complete cell atlas of an aging multicellular organism,"Here we describe a single-cell atlas of aging for virtually every cell type of the nematode Caenorhabditis elegans. Our findings suggest that C. elegans aging is not random in nature, but rather chara",Caenorhabditis elegans,11,208154
200188752,GSE188752,Sequence-dependent model of genes with dual σ factor preference,"Escherichia coli uses σ factors to quickly control large gene cohorts during stress conditions. While most of its genes respond to a single σ factor, approximately 5% of them have dual σ factor prefer",Escherichia coli str. K-12 substr. MG1655,6,188752
200241489,GSE241489,Relative quantification of the recA gene for antibiotic susceptibility testing in response to ciprofloxacin for pathogens of concern,"Antibiotic resistance (AR) is one of the greatest threats to global health and is associated with higher treatment costs, longer hospital stays, and increased mortality. Current gold standard antibiot",Yersinia pestis; Bacillus anthracis,48,241489
200275883,GSE275883,V. cholerae transcriptome of WT and modification deletion mutants with sub-MIC tobramycin or ciprofloxacin,We study gene expression levels of V. cholerae N16961 hapR+ corrected strain in exponential phase with tobramycin or ciprofloxacin.,Vibrio cholerae,30,275883
200254567,GSE254567,Impact of the (p)ppGpp synthesis and maintenance of GTP homeostasis during stationary phase starvation on the transcriptome,"This work investigates the molecular mechanisms that determine the requirement of (p)ppGpp-mediated GTP homeostasis for viability during prolonged nutritional stress. Initially, we observed that the a",Staphylococcus aureus,12,254567
200239910,GSE239910,The regulatory RNA Ern0160 is involved in pathogenicity of Enterococcus faecium,"In this study, we aimed to further characterize Ern0160 functions and identify its targets. In silico prediction screen highlighted putative mRNA candidates. For two of them, homologous genes encoding",Enterococcus faecium Aus0004,8,239910
200210974,GSE210974,Transcriptome RNA Sequencing Data Sets of Francisella tularensis tularensis SchuS4 upon treatment with various concentrations of Doxycycline or Ciprofloxacin antibiotics,"Francisella tularensis, the etiological agnet of Tularemia is a Category A select agent. Preparedness means for prompt proper antibiotic treatment are of need to prevent morbidity and mortality. While",Francisella tularensis subsp. tularensis SCHU S4,12,210974
200214520,GSE214520,"V. cholerae transcriptome or deleted for the tgt gene in MH, supplemented or not with tobramycin or ciprofloxacin",We study gene expression levels of V. cholerae N16961 WT and tgt mutant strains in MH medium in the presence or not of sublethal concentration on tobramycin or ciprofloxacin,Vibrio cholerae O1 biovar El Tor str. N16961,18,214520
200133439,GSE133439,RNA-seq analyzes the effect of ptsI on transcriptome in Escherichia coli during ciprofloxacin treatment.,"A deficiency in ptsI, encoding a cytoplasmic protein that serves as the gateway for the phosphoenolpyruvate:sugar phosphotransferase system, was found to confer tolerance to diverse types of disinfect",Escherichia coli K-12,4,133439
200166602,GSE166602,"Targeting bacterial gyrase with cystobactamid, fluoroquinolone and aminocoumarin antibiotics induces distinct molecular signatures in Pseudomonas aeruginosa",The design of novel antibiotics that break antimicrobial resistance relies on a profound understanding of their mechanism of action. While it has been shown that the cellular effects of antibiotics cl,Pseudomonas aeruginosa UCBPP-PA14,24,166602
200152445,GSE152445,Genome-wide screening and characterization of genes involved in response to high dose of ciprofloxacin in Escherichia coli,"Background: Antibiotic resistance is an urgent threat to public health. Prior to the evolution of antibiotic resistance, bacteria frequently undergo response and tend to develop a state of adaption to",Escherichia coli str. K-12 substr. MG1655,6,152445
200110137,GSE110137,Mode of action characterization of antibiotics using expression profile fingerprints generated by RNA-sequencing technology,RNA-seq based transcriptome profiling  allows a detailed molecular analysis of the E.coli transcriptome (~4200 genes) after perturbation with different antibiotics. Transcriptome fingerprints enable t,Escherichia coli BW25113,57,110137
200120602,GSE120602,Transcriptome Sequence of Antibiotic-Treated Pseudomonas aeruginosa ,"Pseudomonas aeruginosa is known to tolerate antibiotic therapy during infection. This prevents clearance of infection and negatively impacts patient outcomes. Here, we report the transcriptome sequenc",Pseudomonas aeruginosa,8,120602
200153678,GSE153678,Transcriptional profiles of HSCs from control and ABX-treated mice in steady-state and regenerative conditions,"Hematopoietic stem cells (HSCs) are largely quiescent and metabolically inactive under steady state, but can be activated to rapidly proliferate and produce progeny in response to inflammation, hemato",Mus musculus,12,153678
200229978,GSE229978,Effect of germ-free status on transcriptional profiles in the nucleus accumbens and transcriptomic response to chronic morphine,Opioid use disorder is a public health crisis that leads to tremendous suffering for patients as well as substantial social and economic cost for society. There are currently available treatments for ,Mus musculus,33,229978
200150091,GSE150091,The gut microbiome regulates memory function.,The mammalian gastrointestinal tract contains a diverse ecosystem of microbial species collectively making up the gut microbiome. Emerging evidence highlights a critical relationship between gut micro,Rattus norvegicus,34,150091
200097961,GSE97961,The three-component system EsrISR regulates a cell envelope stress response in Corynebacterium glutamicum,"When the cell envelope integrity is compromised, bacteria trigger signaling cascades that result in the production of proteins that counteract these extracytoplasmic stresses. Here, we show that the t",Corynebacterium glutamicum; Corynebacterium glutamicum ATCC 13032,9,97961
200097571,GSE97571,Selective induction of homeostatic Th17 cells in the murine intestine by cholera toxin interacting with the microbiota,"Th17 cells play a role as an inflammation mediator in a variety of autoimmune disorders, including inflammatory bowel disease (IBD) and thus are widely considered to be pathogenic. However, Th17 cells",Mus musculus,8,97571
200095709,GSE95709,Transcriptomic comparison of wild-type and ptvR deletion mutant of Streptococcus pneumoniae D39,"Reversible or phenotypic tolerance to antibiotics within microbial populations has been implicated in treatment failure of chronic infections and development of persister cells. However, the molecular",Streptococcus pneumoniae,2,95709
200084427,GSE84427,Response of Streptococcus mutans wild type and lrgAB-deficient strains to environemntal stressors encountered in the oral cavity,"We assesed the transcriptional response of wild-type and isogenic lrgAB mutant to growth in the presence of three different stress conditions (aerobiosis, high-temperature, and the cell-wall active an",Streptococcus mutans,24,84427
200056791,GSE56791,Macrophages recognize the Helicobacter pylori type IV secretion system in the absence of TLR signaling,"Helicobacter pylori conquered the world by colonizing the human stomach. There are two major groups of strains, one with and one without a cag pathogenicity island (cagPAI), which result in different ",Mus musculus,16,56791
200014571,GSE14571,LiaR Transcriptome in Streptococcus agalactiae ,"Streptococcus agalactiae (Group B Streptococcus, GBS) is a leading cause of early-onset neonatal bacterial infection.  Evasion of innate immune defenses is critical to neonatal GBS disease pathogenesi",Streptococcus agalactiae,4,14571
200039917,GSE39917,Exposure of microaerobic Campylobacter jejuni to diffusible molecules from chicken caecal contents,Campylobacter jejuni is the major cause of acute gastroenteritis in the developed world. It is usually acquired through contaminated poultry as C. jejuni causes a silent asymptomatic infection of the ,Campylobacter jejuni; Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819,5,39917
